July 6, 2026   18:32:49
Cyclic Voltammetry
File: cv2
Data Source:  Experiment
Instrument Model:  CHI760F
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:
Segment 1:
Ep = 0.315V
ip = 2.047e-6A
Ah = 1.181e-6C

Segment 2:

Potential/V	Current/A
0.233	-2.532e-5
0.232	-2.562e-5
0.231	-2.622e-5
0.230	-2.642e-5
0.229	-2.602e-5
0.228	-2.652e-5
0.227	-2.612e-5
0.226	-2.692e-5
0.225	-2.672e-5
0.224	-2.662e-5
0.223	-2.552e-5
0.222	-2.662e-5
0.221	-2.592e-5
0.220	-2.562e-5
0.219	-2.552e-5
0.218	-2.652e-5
0.217	-2.552e-5
0.216	-2.492e-5
0.215	-2.592e-5
0.214	-2.622e-5
0.213	-2.622e-5
0.212	-2.602e-5
0.211	-2.572e-5
0.210	-2.602e-5
0.209	-2.602e-5
0.208	-2.662e-5
0.207	-2.632e-5
0.206	-2.652e-5
0.205	-2.692e-5
0.204	-2.712e-5
0.203	-2.602e-5
0.202	-2.632e-5
0.201	-2.532e-5
0.200	-2.582e-5
0.199	-2.502e-5
0.198	-2.562e-5
0.197	-2.562e-5
0.196	-2.592e-5
0.195	-2.532e-5
0.194	-2.602e-5
0.193	-2.672e-5
0.192	-2.572e-5
0.191	-2.602e-5
0.190	-2.572e-5
0.189	-2.502e-5
0.188	-2.552e-5
0.187	-2.552e-5
0.186	-2.502e-5
0.185	-2.532e-5
0.184	-2.572e-5
0.183	-2.502e-5
0.182	-2.422e-5
0.181	-2.422e-5
0.180	-2.532e-5
0.179	-2.552e-5
0.178	-2.562e-5
0.177	-2.582e-5
0.176	-2.562e-5
0.175	-2.522e-5
0.174	-2.572e-5
0.173	-2.592e-5
0.172	-2.502e-5
0.171	-2.582e-5
0.170	-2.562e-5
0.169	-2.512e-5
0.168	-2.442e-5
0.167	-2.532e-5
0.166	-2.532e-5
0.165	-2.472e-5
0.164	-2.452e-5
0.163	-2.372e-5
0.162	-2.492e-5
0.161	-2.402e-5
0.160	-2.382e-5
0.159	-2.482e-5
0.158	-2.452e-5
0.157	-2.402e-5
0.156	-2.442e-5
0.155	-2.422e-5
0.154	-2.392e-5
0.153	-2.502e-5
0.152	-2.482e-5
0.151	-2.502e-5
0.150	-2.512e-5
0.149	-2.512e-5
0.148	-2.442e-5
0.147	-2.482e-5
0.146	-2.412e-5
0.145	-2.502e-5
0.144	-2.642e-5
0.143	-2.472e-5
0.142	-2.442e-5
0.141	-2.492e-5
0.140	-2.462e-5
0.139	-2.462e-5
0.138	-2.432e-5
0.137	-2.372e-5
0.136	-2.372e-5
0.135	-2.412e-5
0.134	-2.452e-5
0.133	-2.472e-5
0.132	-2.462e-5
0.131	-2.432e-5
0.130	-2.472e-5
0.129	-2.452e-5
0.128	-2.422e-5
0.127	-2.422e-5
0.126	-2.412e-5
0.125	-2.472e-5
0.124	-2.402e-5
0.123	-2.432e-5
0.122	-2.372e-5
0.121	-2.282e-5
0.120	-2.252e-5
0.119	-2.392e-5
0.118	-2.412e-5
0.117	-2.462e-5
0.116	-2.392e-5
0.115	-2.502e-5
0.114	-2.372e-5
0.113	-2.322e-5
0.112	-2.402e-5
0.111	-2.442e-5
0.110	-2.412e-5
0.109	-2.432e-5
0.108	-2.392e-5
0.107	-2.382e-5
0.106	-2.402e-5
0.105	-2.372e-5
0.104	-2.402e-5
0.103	-2.462e-5
0.102	-2.432e-5
0.101	-2.342e-5
0.100	-2.342e-5
0.099	-2.362e-5
0.098	-2.252e-5
0.097	-2.242e-5
0.096	-2.222e-5
0.095	-2.282e-5
0.094	-2.292e-5
0.093	-2.252e-5
0.092	-2.132e-5
0.091	-2.162e-5
0.090	-2.172e-5
0.089	-2.202e-5
0.088	-2.142e-5
0.087	-2.232e-5
0.086	-2.202e-5
0.085	-2.232e-5
0.084	-2.252e-5
0.083	-2.272e-5
0.082	-2.272e-5
0.081	-2.202e-5
0.080	-2.122e-5
0.079	-2.212e-5
0.078	-2.192e-5
0.077	-2.152e-5
0.076	-2.142e-5
0.075	-2.112e-5
0.074	-2.112e-5
0.073	-2.212e-5
0.072	-2.192e-5
0.071	-2.212e-5
0.070	-2.172e-5
0.069	-2.262e-5
0.068	-2.102e-5
0.067	-2.172e-5
0.066	-2.172e-5
0.065	-2.182e-5
0.064	-2.202e-5
0.063	-2.192e-5
0.062	-2.302e-5
0.061	-2.192e-5
0.060	-2.162e-5
0.059	-2.192e-5
0.058	-2.152e-5
0.057	-2.112e-5
0.056	-2.092e-5
0.055	-2.082e-5
0.054	-2.132e-5
0.053	-2.182e-5
0.052	-2.112e-5
0.051	-2.102e-5
0.050	-2.252e-5
0.049	-2.142e-5
0.048	-2.202e-5
0.047	-2.222e-5
0.046	-2.252e-5
0.045	-2.262e-5
0.044	-2.332e-5
0.043	-2.272e-5
0.042	-2.232e-5
0.041	-2.132e-5
0.040	-2.112e-5
0.039	-2.162e-5
0.038	-2.182e-5
0.037	-2.192e-5
0.036	-2.232e-5
0.035	-2.142e-5
0.034	-2.232e-5
0.033	-2.152e-5
0.032	-2.182e-5
0.031	-2.192e-5
0.030	-2.212e-5
0.029	-2.122e-5
0.028	-2.172e-5
0.027	-2.202e-5
0.026	-2.162e-5
0.025	-2.142e-5
0.024	-2.132e-5
0.023	-2.192e-5
0.022	-2.112e-5
0.021	-2.182e-5
0.020	-2.122e-5
0.019	-2.142e-5
0.018	-2.102e-5
0.017	-2.142e-5
0.016	-2.202e-5
0.015	-2.162e-5
0.014	-2.102e-5
0.013	-2.142e-5
0.012	-2.052e-5
0.011	-2.142e-5
0.010	-2.162e-5
0.009	-2.142e-5
0.008	-2.122e-5
0.007	-2.182e-5
0.006	-2.162e-5
0.005	-2.142e-5
0.004	-2.152e-5
0.003	-2.192e-5
0.002	-2.172e-5
0.001	-2.212e-5
